ID,Start time,Completion time,Email,Name,Last modified time,Full Name,E-mail (please enter your Loomis e-mail address),Identifier,Year of Graduation,Room Preference,Matched Roommate's Name,Dorm Preference,One Student,One Student,One Student,One Student,One Student,One Student,One Student,One Student,Freshman Year,Freshman Year2
12,5/16/23 20:12,5/17/23 19:42,placeholderemail@internal.loomis.org,owhufoytts,,owhufoytts,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,hrqrraiqol,Kravis;Harman;Carter;All Gender Housing;,sxtyxejpmu,ffbhzhmjpy,ojpbfdenzj,binshyveha,yoazpscuxc,cnbsxvylte,vwyodqpxkf,uafneulwzg,Carter,Double
13,5/17/23 19:57,5/17/23 20:01,placeholderemail@internal.loomis.org,daecegrgcb,,daecegrgcb,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,aigjqbujbd,Kravis;Carter;Harman;All Gender Housing;,aigjqbujbd,ffbhzhmjpy,qmqshbhjfm,hwfplyulgx,ptiydpnyxu,lxibbnppjs,uafneulwzg,binshyveha,Carter,Double
14,5/17/23 21:01,5/17/23 21:08,placeholderemail@internal.loomis.org,lxibbnppjs,,lxibbnppjs,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,mbgukmdyqa,Kravis;Harman;Carter;All Gender Housing;,uafneulwzg,daecegrgcb,mbgukmdyqa,qmqshbhjfm,ffbhzhmjpy,yoazpscuxc,vwyodqpxkf,sxtyxejpmu,Carter,Double
15,5/17/23 21:36,5/17/23 21:40,placeholderemail@internal.loomis.org,hwfplyulgx,,hwfplyulgx,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,ciauwqzrad,Kravis;Harman;Carter;All Gender Housing;,hrqrraiqol,ijczazphgc,sqbumskvfd,ciauwqzrad,behlogghzr,szgrgpzcal,owqdlsqiae,hnafmuuiju,Harman,Double
16,5/17/23 21:36,5/17/23 21:40,placeholderemail@internal.loomis.org,ciauwqzrad,,ciauwqzrad,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,hwfplyulgx,Kravis;Harman;All Gender Housing;Carter;,hwfplyulgx,behlogghzr,szgrgpzcal,sqbumskvfd,hnafmuuiju,hrqrraiqol,owqdlsqiae,ijczazphgc,Harman,Double
17,5/17/23 21:31,5/17/23 21:42,placeholderemail@internal.loomis.org,hfpwrnsded,,hfpwrnsded,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,qfjdttlnnn,Harman;Carter;All Gender Housing;Kravis;,qfjdttlnnn,sxtyxejpmu,ktlwcgutlo,txxtghykob,tbjnlfspyj,gbzdjzrmjd,yvkihcybxo,cejswwmjcp,Harman,Double
18,5/17/23 21:30,5/17/23 21:43,placeholderemail@internal.loomis.org,qfjdttlnnn,,qfjdttlnnn,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,hfpwrnsded,Harman;Kravis;Carter;All Gender Housing;,yvkihcybxo,cejswwmjcp,hfpwrnsded,sxtyxejpmu,ojpbfdenzj,zjorgxbfyh,jxuwvupffv,ktlwcgutlo,Harman,Single
19,5/17/23 21:38,5/17/23 21:45,placeholderemail@internal.loomis.org,edrpjinbai,,edrpjinbai,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,yqhzhofkqh,Harman;Carter;Kravis;All Gender Housing;,yqhzhofkqh,zbxeqarncb,xtnawboiuy,atyetknpng,symosxgjlh,jxuwvupffv,sispebqbre,ltruawpzry,Harman,Double
20,5/17/23 21:45,5/17/23 21:49,placeholderemail@internal.loomis.org,ktlwcgutlo,,ktlwcgutlo,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,sispebqbre,Harman;Kravis;All Gender Housing;Carter;,pljqlyblom,jxuwvupffv,sxtyxejpmu,sispebqbre,zbxeqarncb,qcevyusyim,,,Harman,Double
21,5/17/23 21:36,5/17/23 21:51,placeholderemail@internal.loomis.org,symosxgjlh,,symosxgjlh,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,atyetknpng,Harman;Carter;Kravis;All Gender Housing;,atyetknpng,zbxeqarncb,xtnawboiuy,edrpjinbai,ltruawpzry,jxuwvupffv,yqhzhofkqh,sispebqbre,Harman,Double
22,5/17/23 21:36,5/17/23 21:52,placeholderemail@internal.loomis.org,xtnawboiuy,,xtnawboiuy,placeholderemail@loomis.org,Male,2026,Double;Triple;Single;,zbxeqarncb,Harman;Carter;Kravis;All Gender Housing;,atyetknpng,edrpjinbai,symosxgjlh,jxuwvupffv,ltruawpzry,yqhzhofkqh,sispebqbre,zbxeqarncb,Harman,Single
23,5/17/23 21:38,5/17/23 21:52,placeholderemail@internal.loomis.org,zbxeqarncb,,zbxeqarncb,placeholderemail@loomis.org,Male,2026,Double;Triple;Single;,xtnawboiuy,Harman;Carter;Kravis;All Gender Housing;,xtnawboiuy,atyetknpng,symosxgjlh,edrpjinbai,jxuwvupffv,yqhzhofkqh,ltruawpzry,sispebqbre,Harman,Double
24,5/17/23 21:41,5/17/23 21:54,placeholderemail@internal.loomis.org,atyetknpng,,atyetknpng,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,symosxgjlh,Harman;Carter;Kravis;All Gender Housing;,symosxgjlh,zbxeqarncb,xtnawboiuy,upfdyxlpjv,jxuwvupffv,ltruawpzry,yqhzhofkqh,sispebqbre,Harman,Double
25,5/17/23 21:54,5/17/23 21:55,placeholderemail@internal.loomis.org,ujrecgtwrv,,ujrecgtwrv,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;, ,Kravis;Harman;Carter;All Gender Housing;,ffbhzhmjpy,mbgukmdyqa,uafneulwzg,daecegrgcb,vwyodqpxkf,lxibbnppjs,qmqshbhjfm,sxtyxejpmu,Harman,Double
26,5/17/23 21:33,5/17/23 22:02,placeholderemail@internal.loomis.org,hyhdlsysyh,,hyhdlsysyh,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,edrpjinbai,Harman;Carter;Kravis;All Gender Housing;,edrpjinbai,yvkihcybxo,sispebqbre,zbxeqarncb,xntxutnips,ltruawpzry,,,Harman,Single
27,5/17/23 21:31,5/17/23 22:08,placeholderemail@internal.loomis.org,pljqlyblom,,pljqlyblom,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,ijczazphgc,Kravis;Harman;Carter;All Gender Housing;,uafneulwzg,mbgukmdyqa,aigjqbujbd,sxtyxejpmu,jxuwvupffv,pcfixmrvdq,hwfplyulgx,qmqshbhjfm,Harman,Double
28,5/17/23 22:03,5/17/23 22:08,placeholderemail@internal.loomis.org,jxuwvupffv,,jxuwvupffv,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,mutcymoyww,Harman;Kravis;Carter;All Gender Housing;,zbxeqarncb,atyetknpng,xtnawboiuy,fezkfddypt,ltruawpzry,edrpjinbai,,,Harman,Single
29,5/17/23 22:04,5/17/23 22:09,placeholderemail@internal.loomis.org,efzmwtxggj,,efzmwtxggj,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,pcfixmrvdq,Kravis;Carter;Harman;All Gender Housing;,pcfixmrvdq,yoazpscuxc,pljqlyblom,ciauwqzrad,sqbumskvfd,cnbsxvylte,ojpbfdenzj,ijczazphgc,Harman,Double
30,5/17/23 22:10,5/17/23 22:15,placeholderemail@internal.loomis.org,qcevyusyim,,qcevyusyim,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,ojpbfdenzj,Carter;Kravis;Harman;All Gender Housing;,kzqjhaaaxi,upfdyxlpjv,wztghsiwqw,lxibbnppjs,zbxeqarncb,qevgkndrti,ylfazowdkk,vdapxfpjgy,Carter,Double
31,5/17/23 21:51,5/17/23 22:16,placeholderemail@internal.loomis.org,jrpirpcact,,jrpirpcact,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,ggpkvgfeew,Harman;Carter;Kravis;All Gender Housing;,atyetknpng,symosxgjlh,sispebqbre,ltruawpzry,ktlwcgutlo,yeyjlaronk,,,Harman,Double
32,5/17/23 22:26,5/17/23 22:33,placeholderemail@internal.loomis.org,aigjqbujbd,,aigjqbujbd,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,daecegrgcb,Kravis;Harman;Carter;All Gender Housing;,efzmwtxggj,pcfixmrvdq,cnbsxvylte,behlogghzr,jxuwvupffv,ciauwqzrad,,,Kravis,Double
33,5/17/23 22:22,5/17/23 22:35,placeholderemail@internal.loomis.org,xntxutnips,,xntxutnips,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,edrpjinbai,Kravis;Harman;Carter;All Gender Housing;,edrpjinbai,sispebqbre,wwvynywchg,upfdyxlpjv,xtnawboiuy,jrpirpcact,cnbsxvylte,gbzdjzrmjd,Harman,Double
34,5/17/23 22:33,5/17/23 22:38,placeholderemail@internal.loomis.org,vwyodqpxkf,,vwyodqpxkf,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,sxtyxejpmu,Harman;Kravis;Carter;All Gender Housing;,uafneulwzg,sxtyxejpmu,lxibbnppjs,owhufoytts,zklwnfvumm,mbgukmdyqa,,,Harman,Double
35,5/17/23 21:31,5/17/23 22:49,placeholderemail@internal.loomis.org,sispebqbre,,sispebqbre,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,ktlwcgutlo,Harman;Carter;All Gender Housing;Kravis;,mbgukmdyqa,jxuwvupffv,hrqrraiqol,sxtyxejpmu,uafneulwzg,zbxeqarncb,,,Harman,Double
36,5/17/23 22:47,5/17/23 22:54,placeholderemail@internal.loomis.org,ltruawpzry,,ltruawpzry,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,,Kravis;Harman;Carter;All Gender Housing;,cnbsxvylte,vcbbsjgvxo,ojpbfdenzj,jxuwvupffv,qevgkndrti,xntxutnips,mbgukmdyqa,hknoqzfedj,Harman,Double
37,5/17/23 23:20,5/17/23 23:20,placeholderemail@internal.loomis.org,mbgukmdyqa,,mbgukmdyqa,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,uafneulwzg,Kravis;Carter;Harman;All Gender Housing;,qmqshbhjfm,uafneulwzg,lxibbnppjs,sxtyxejpmu,daecegrgcb,vwyodqpxkf,ffbhzhmjpy,yoazpscuxc,Harman,Double
38,5/18/23 0:10,5/18/23 0:13,placeholderemail@internal.loomis.org,hrqrraiqol,,hrqrraiqol,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,owhufoytts,Kravis;Harman;Carter;All Gender Housing;,yoazpscuxc,ffbhzhmjpy,sxtyxejpmu,zklwnfvumm,ciauwqzrad,hwfplyulgx,,,Harman,Double
39,5/18/23 8:21,5/18/23 8:29,placeholderemail@internal.loomis.org,binshyveha,,binshyveha,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,,Kravis;Carter;Harman;All Gender Housing;,uafneulwzg,jcplaqrqed,ptiydpnyxu,qmqshbhjfm,owqdlsqiae,sqbumskvfd,aigjqbujbd,xmllubmzir,Carter,Double
40,5/18/23 14:30,5/18/23 14:48,placeholderemail@internal.loomis.org,qmqshbhjfm,,fkrgwnzkbo,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,sxtyxejpmu,Kravis;Harman;Carter;All Gender Housing;,uafneulwzg,binshyveha,ciauwqzrad,ptiydpnyxu,unhjvndbva,eqopaqfdhy,vwyodqpxkf,daecegrgcb,Carter,Double
41,5/18/23 15:42,5/18/23 15:45,placeholderemail@internal.loomis.org,qevgkndrti,,mhimlztsxl,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,ltruawpzry,Kravis;Harman;Carter;All Gender Housing;,cnbsxvylte,wwvynywchg,kzqjhaaaxi,gqbjtapfaj,pcfixmrvdq,qjnblidlus,,,Carter,Double
42,5/18/23 16:24,5/18/23 16:53,placeholderemail@internal.loomis.org,ggpkvgfeew,,ggpkvgfeew,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,jrpirpcact,Kravis;Carter;Harman;All Gender Housing;,uafneulwzg,mbgukmdyqa,atyetknpng,welndbhscj,sxtyxejpmu,ffbhzhmjpy,daecegrgcb,qmqshbhjfm,Carter,Double
43,5/18/23 16:56,5/18/23 16:56,placeholderemail@internal.loomis.org,sxtyxejpmu,,sxtyxejpmu,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,qmqshbhjfm,Kravis;Harman;Carter;All Gender Housing;,uafneulwzg,mbgukmdyqa,qmqshbhjfm,daecegrgcb,vwyodqpxkf,hrqrraiqol,,,Harman,Double
44,5/18/23 9:41,5/18/23 17:05,placeholderemail@internal.loomis.org,upfdyxlpjv,,upfdyxlpjv,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,qcevyusyim,Kravis;Carter;Harman;All Gender Housing;,pcfixmrvdq,hknoqzfedj,ojpbfdenzj,wwvynywchg,gqbjtapfaj,vcbbsjgvxo,atyetknpng,xntxutnips,Carter,Double
45,5/18/23 15:07,5/18/23 18:23,placeholderemail@internal.loomis.org,mutcymoyww,,mutcymoyww,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,jxuwvupffv,Harman;Kravis;Carter;All Gender Housing;,xprovovboi,kzqjhaaaxi,jxuwvupffv,rwaatbqpcw,vdapxfpjgy,wwvynywchg,atyetknpng,zbxeqarncb,Harman,Double
46,5/18/23 19:34,5/18/23 19:39,placeholderemail@internal.loomis.org,rwaatbqpcw,,rwaatbqpcw,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,xntxutnips,Harman;Kravis;Carter;All Gender Housing;,xprovovboi,wwvynywchg,cnbsxvylte,xntxutnips,ylhochaqgm,raxrsaxpbf,qfjdttlnnn,pcfixmrvdq,Harman,Double
47,5/18/23 21:37,5/18/23 21:42,placeholderemail@internal.loomis.org,yqhzhofkqh,,yqhzhofkqh,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,edrpjinbai,Harman;Kravis;Carter;All Gender Housing;,jxuwvupffv,mbgukmdyqa,zbxeqarncb,ujrecgtwrv,sispebqbre,xtnawboiuy,xntxutnips,uafneulwzg,N/A,N/A
