ID,Start time,Completion time,Email,Name,Last modified time,Full Name,E-mail (please enter your Loomis e-mail address),Identifier,Year of Graduation,Room Preference,Matched Roommate's Name,Dorm Preference,One Student,One Student2,One Student3,One Student4,One Student5,One Student6,One Student7,One Student8,Freshman,Sophomore,Junior,Freshman Year,Sophomore Year,Junior Year
13,5/17/23 20:01:48,5/17/23 20:02:32,placeholderemail@internal.loomis.org,igzuwfrayg,,igzuwfrayg,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,otggohncjd,Batchelder;Warham;Taylor;Carter ;Harman ;Kravis ;All Gender Housing;,otggohncjd,yymfmnsqcf,vzfihfkmzs,boehwawxfs,lpjrryndrz,prmolasqkb,vblqucknqi,ybkmgtjmkd,Carter,Carter,Batchelder,,Double,
14,5/17/23 19:51:28,5/17/23 20:06:57,placeholderemail@internal.loomis.org,pclgyiyenf,,pclgyiyenf,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,qsdxmxlhqf,Batchelder;Taylor;Warham;All Gender Housing;Harman ;Carter ;Kravis ;,,, , ,,,,,Batchelder,Kravis,Batchelder,,Single,Double
15,5/17/23 20:01:45,5/17/23 20:07:47,placeholderemail@internal.loomis.org,qsdxmxlhqf,,qsdxmxlhqf,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,pclgyiyenf,Batchelder;Taylor;Warham;Kravis ;Harman ;Carter ;All Gender Housing;,bfkajdwqya,abinxvcvtk,oryckpqqch,jklcgislec,pclgyiyenf,rfkygcobiu,uyaouceknm,vozcgvsvrv,Harman,Harman,Batchelder,,Double,Single
16,5/17/23 19:49:30,5/17/23 20:10:44,placeholderemail@internal.loomis.org,vblqucknqi,,vblqucknqi,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,hkjinpfjet,Warham;Batchelder;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,eyeexseuwh,zlcfipzqyg,ebinsfefcs,ycqtqfotsy,lpjrryndrz,hkjinpfjet,jlmvpsttah,prmolasqkb,Batchelder,Batchelder,Batchelder,,,Double
17,5/17/23 20:23:37,5/17/23 20:31:01,placeholderemail@internal.loomis.org,oydbfdlfaf,,oydbfdlfaf,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,rqjjpwseql,Carter ;Harman ;Kravis ;Warham;Batchelder;Taylor;All Gender Housing;,rqjjpwseql,piwotafnkm,xwfslbdbnv,,,,,,AGH,Carter,AGH,,Double,
18,5/17/23 20:13:20,5/17/23 20:36:08,placeholderemail@internal.loomis.org,phvkxcbvvn,,phvkxcbvvn,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,cpkiibhaig,Taylor;Warham;Batchelder;Carter ;Kravis ;Harman ;All Gender Housing;,cpkiibhaig,krgzvwlbcf,vozcgvsvrv,viujtibxxn,pclgyiyenf,lwrocvifhl,nabghmfqlq,bfkajdwqya,Carter,Carter,Carter,Double,Double,Single
19,5/17/23 20:38:14,5/17/23 20:38:21,placeholderemail@internal.loomis.org,rqjjpwseql,,rqjjpwseql,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,oydbfdlfaf,Carter ;Batchelder;Warham;Taylor;Harman ;Kravis ;All Gender Housing;,oydbfdlfaf,piwotafnkm,xwfslbdbnv,wexhxdnqpn,zrkgmzkmuv,viujtibxxn,pnuhxrgnqr,otggohncjd,Carter,Carter,Carter,Single,Single,
20,5/17/23 19:50:32,5/17/23 20:39:38,placeholderemail@internal.loomis.org,boehwawxfs,,boehwawxfs,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Batchelder;Warham;Taylor;Harman ;All Gender Housing;Carter ;Kravis ;,vzfihfkmzs,olskgkzbbr,wzsinzeekq,yymfmnsqcf,ybkmgtjmkd,stwhwmjgcq,gwdmdhkhnj,aeihihgcsk,Carter,Carter,Batchelder,Double,Single,
21,5/17/23 21:06:29,5/17/23 21:17:00,placeholderemail@internal.loomis.org,xatmncxsfe,,xatmncxsfe,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,vzfihfkmzs,Batchelder;Warham;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,ybkmgtjmkd,yymfmnsqcf,vzfihfkmzs,lootmugaao,tiwkxetiew,igzuwfrayg,,,AGH,AGH,Batchelder,,,Double
22,5/17/23 21:30:52,5/17/23 21:33:42,placeholderemail@internal.loomis.org,bcfxrtpylu,,bcfxrtpylu,placeholderemail@loomis.org,Male,2024,Double;Single;Triple;,ftdnmdphal,Warham;Batchelder;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,vyogibmdnb,ftdnmdphal,fclicpkemb,hxeyhpdjhd,evigwndgiw,gjbfhumyeh,,,Kravis,Harman,Harman,Double,Single,Single
23,5/17/23 21:32:58,5/17/23 21:37:38,placeholderemail@internal.loomis.org,piwotafnkm,,piwotafnkm,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,oydbfdlfaf,Carter ;Batchelder;Taylor;Warham;All Gender Housing;Harman ;Kravis ;,oydbfdlfaf,rqjjpwseql,cevfqvxyey,wexhxdnqpn,xwfslbdbnv,xthymbbmeh,,,Harman,Harman,Carter,,Single,
24,5/17/23 21:31:58,5/17/23 21:38:01,placeholderemail@internal.loomis.org,evigwndgiw,,evigwndgiw,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Batchelder;Taylor;Warham;Harman ;Carter ;Kravis ;All Gender Housing;,gjbfhumyeh,fkwkhxvrls,bcfxrtpylu,prmolasqkb,vyogibmdnb,fclicpkemb,ftdnmdphal,ycqtqfotsy,Harman,Harman,Taylor,Double,Single,
25,5/17/23 21:32:03,5/17/23 21:43:44,placeholderemail@internal.loomis.org,zrkgmzkmuv,,zrkgmzkmuv,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,jgzdkskbbg,Harman ;Batchelder;Warham;Carter ;Kravis ;Taylor;All Gender Housing;,kgfebparve,ytidtdvisb,jgzdkskbbg,keebdxafsv,nijghfmvjm,qzmqtaktyu,,,Harman,Harman,Harman,,Double,
26,5/17/23 21:38:27,5/17/23 21:44:50,placeholderemail@internal.loomis.org,jllyydygsq,,jllyydygsq,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,viujtibxxn,Batchelder;Taylor;Warham;Harman ;Carter ;Kravis ;All Gender Housing;,stwhwmjgcq,prmolasqkb,gjbfhumyeh,otggohncjd,rbfpemhowr,jlmvpsttah,hujdefvdtk,vlkujszemy,Kravis,Harman,Batchelder,Double,Single,
27,5/17/23 21:40:13,5/17/23 21:45:19,placeholderemail@internal.loomis.org,prmolasqkb,,prmolasqkb,placeholderemail@loomis.org,Male,2025,Double;Single;Triple;,kwqanxntcz,Batchelder;Kravis ;Warham;Taylor;Harman ;Carter ;All Gender Housing;,zlcfipzqyg,vlkujszemy,igzuwfrayg,stwhwmjgcq,gjbfhumyeh,ebinsfefcs,kwqanxntcz,hkjinpfjet,Harman,Harman,Batchelder,,Double,Double
28,5/17/23 21:32:03,5/17/23 21:45:31,placeholderemail@internal.loomis.org,gjbfhumyeh,,gjbfhumyeh,placeholderemail@loomis.org,Male,2025,Double;Single;Triple;,stwhwmjgcq,Batchelder;Taylor;Warham;Harman ;Carter ;Kravis ;All Gender Housing;,stwhwmjgcq,otggohncjd,prmolasqkb,jlmvpsttah,boehwawxfs,rbfpemhowr,evigwndgiw,ycqtqfotsy,Harman,Harman,AGH,Double,Single,
29,5/17/23 21:35:11,5/17/23 21:46:27,placeholderemail@internal.loomis.org,wdhnimbrec,,wdhnimbrec,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,dtretsxdwm,Batchelder;Taylor;Warham;Kravis ;Carter ;Harman ;All Gender Housing;,prmolasqkb,igzuwfrayg,viujtibxxn,nabghmfqlq,jlmvpsttah,mnykkkrvdw,dtretsxdwm,vngbwtiyyc,Harman,Harman,Batchelder,,Single,
30,5/17/23 21:32:28,5/17/23 21:47:47,placeholderemail@internal.loomis.org,viujtibxxn,,viujtibxxn,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,vngbwtiyyc,Batchelder;Warham;Taylor;Harman ;Kravis ;Carter ;All Gender Housing;,jlmvpsttah,stwhwmjgcq,boehwawxfs,gjbfhumyeh,jllyydygsq,otggohncjd,igzuwfrayg,prmolasqkb,Harman,Harman,Batchelder,Double,Single,
31,5/17/23 22:21:35,5/17/23 22:26:27,placeholderemail@internal.loomis.org,stwhwmjgcq,,stwhwmjgcq,placeholderemail@loomis.org,Male,2025,Double;Single;Triple;,gjbfhumyeh,Batchelder;Taylor;Warham;All Gender Housing;Harman ;Carter ;Kravis ;,boehwawxfs,otggohncjd,jlmvpsttah,rbfpemhowr,viujtibxxn,prmolasqkb,,,Harman,Harman,Batchelder,Double,Single,
32,5/17/23 22:13:12,5/17/23 22:37:22,placeholderemail@internal.loomis.org,iejcyudpnr,,iejcyudpnr,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,nxxxjqvpdt,Batchelder;Warham;Taylor;All Gender Housing;Harman ;Carter ;Kravis ;,nxxxjqvpdt,becvhzcwxo,bfcalmegxu,cpkiibhaig,itpiavmkuo,lyrmaxvfck,terljjvubz,wbhiwfljhz,Harman,Harman,Harman,,Double,
33,5/17/23 21:43:06,5/17/23 22:48:24,placeholderemail@internal.loomis.org,jlmvpsttah,,jlmvpsttah,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,boehwawxfs,Batchelder;Warham;Kravis ;Taylor;Harman ;Carter ;All Gender Housing;,vblqucknqi,prmolasqkb,stwhwmjgcq,gjbfhumyeh,myhkamlmoo,zlcfipzqyg,boehwawxfs,igzuwfrayg,AGH,Harman,AGH,,Double,
34,5/17/23 22:43:01,5/17/23 22:58:22,placeholderemail@internal.loomis.org,fkwkhxvrls,,fkwkhxvrls,placeholderemail@loomis.org,Male,2024,Double;Single;Triple;,aeihihgcsk,Taylor;Warham;Batchelder;Kravis ;Harman ;Carter ;All Gender Housing;,evigwndgiw,gjbfhumyeh,hxeyhpdjhd,vyogibmdnb,fclicpkemb,oogckdxsuo,stwhwmjgcq,otggohncjd,Harman,Harman,Batchelder,,Double,Double
35,5/17/23 21:32:16,5/17/23 23:12:30,placeholderemail@internal.loomis.org,ftdnmdphal,,ftdnmdphal,placeholderemail@loomis.org,Male,2024,Double;Single;Triple;,bcfxrtpylu,Warham;Batchelder;All Gender Housing;Taylor;Harman ;Carter ;Kravis ;,vyogibmdnb,fclicpkemb,hxeyhpdjhd,oogckdxsuo,bcfxrtpylu,vfsjrrpblb,,,Kravis,Kravis,Harman,Double,Single,Double
36,5/17/23 23:50:51,5/17/23 23:59:46,placeholderemail@internal.loomis.org,zjlzfcoukk,,zjlzfcoukk,placeholderemail@loomis.org,Male,2024,Single;Triple;Double;,,Taylor;Warham;Batchelder;All Gender Housing;Kravis ;Carter ;Harman ;,stwhwmjgcq,yymfmnsqcf,zlcfipzqyg,jdalxedsnp,ylduxmoeho,rvtgqljvjf,lootmugaao,aiyuxwopbd,Carter,Carter,Harman,Double,Double,Single
37,5/18/23 7:51:57,5/18/23 7:57:06,placeholderemail@internal.loomis.org,gwdmdhkhnj,,gwdmdhkhnj,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,cupzwesnqw,Batchelder;Warham;Taylor;All Gender Housing;Carter ;Kravis ;Harman ;,cupzwesnqw,xyfozxrmae,tthhevbaqj,lpkasoglok,olskgkzbbr,jdphbqtdzj,vblgbwxltc,aezndxopxf,Batchelder,Batchelder,Batchelder,,,Double
38,5/17/23 19:42:24,5/18/23 9:01:24,placeholderemail@internal.loomis.org,aeihihgcsk,,aeihihgcsk,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,fkwkhxvrls,Taylor;Warham;Batchelder;Harman ;Carter ;Kravis ;All Gender Housing;,xatmncxsfe,yymfmnsqcf,igzuwfrayg,tiwkxetiew,fkwkhxvrls,lootmugaao,,,AGH,AGH,Batchelder,,,Double
39,5/18/23 9:04:31,5/18/23 9:04:38,placeholderemail@internal.loomis.org,hxeyhpdjhd,,hxeyhpdjhd,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,vyogibmdnb,Warham;Batchelder;Taylor;Harman ;Kravis ;Carter ;All Gender Housing;,bcfxrtpylu,ftdnmdphal,vyogibmdnb,fclicpkemb,oogckdxsuo,mizokvpyok,,,Kravis,Kravis,Batchelder,,Single,Single
40,5/18/23 9:26:47,5/18/23 9:34:44,placeholderemail@internal.loomis.org,vyogibmdnb,,vyogibmdnb,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,hxeyhpdjhd,Warham;Batchelder;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,ftdnmdphal,bcfxrtpylu,fclicpkemb,oogckdxsuo,hxeyhpdjhd,ycqtqfotsy,slychtrdsx,mizokvpyok,Harman,Harman,Batchelder,Double,Double,Double
41,5/18/23 9:03:44,5/18/23 10:27:28,placeholderemail@internal.loomis.org,izhtjplkwy,,izhtjplkwy,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,obxkcxxuxd,Batchelder;Warham;Taylor;Carter ;Kravis ;Harman ;All Gender Housing;,obxkcxxuxd,uyaouceknm,slyzogdlcn,gepayqhywk,abinxvcvtk,ayshzmvonu,ynxwpyyhtn,yandbxlnsb,Carter,Carter,Carter,,Double,
42,5/18/23 10:29:24,5/18/23 10:35:53,placeholderemail@internal.loomis.org,cpkiibhaig,,cpkiibhaig,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,phvkxcbvvn,Taylor;Batchelder;Warham;Carter ;Harman ;Kravis ;All Gender Housing;,phvkxcbvvn,cvlmwxxeaj,vozcgvsvrv,podvfestsx,akelyhzvvu,krgzvwlbcf,gnjpgjpxdr,,Harman,Harman,Batchelder,,Single,Double
43,5/18/23 10:24:29,5/18/23 10:37:59,placeholderemail@internal.loomis.org,fclicpkemb,,fclicpkemb,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,oogckdxsuo,Warham;Batchelder;Taylor;Harman ;Kravis ;Carter ;All Gender Housing;,dsrodjdaly,ftdnmdphal,bcfxrtpylu,vyogibmdnb,ycqtqfotsy,hxeyhpdjhd,,,AGH,Harman,Taylor,,Double,Double
44,5/18/23 9:59:36,5/18/23 10:46:56,placeholderemail@internal.loomis.org,ygpmwszkuo,,ygpmwszkuo,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,eyeexseuwh,Warham;Batchelder;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,eyeexseuwh,rvtgqljvjf,ebinsfefcs,nvekqbfftf,kuzxyadimh,lootmugaao,jdalxedsnp,bxapmyekra,Kravis,Kravis,Carter,Double,Single,Single
45,5/18/23 11:25:44,5/18/23 11:28:20,placeholderemail@internal.loomis.org,mqrxwoweby,,mqrxwoweby,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Kravis ;Carter ;Harman ;Batchelder;Warham;Taylor;All Gender Housing;,oryckpqqch,jtxjlhfirh,oydbfdlfaf,pnuhxrgnqr,zqtezjmxqb,rqjjpwseql,keebdxafsv,wexhxdnqpn,Carter,Carter,Kravis,,Double,
46,5/18/23 11:29:41,5/18/23 11:34:29,placeholderemail@internal.loomis.org,ruvlqaiwxa,,ruvlqaiwxa,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,,Batchelder;Warham;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,vzfihfkmzs,itpiavmkuo,olskgkzbbr,wwwjqoacpe,pclgyiyenf,gwdmdhkhnj,cupzwesnqw,slychtrdsx,Harman,Harman,Carter,Double,Double,Single
47,5/17/23 10:03:26,5/18/23 12:01:29,placeholderemail@internal.loomis.org,cupzwesnqw,,cupzwesnqw,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,gwdmdhkhnj,Batchelder;Warham;Taylor;Kravis ;Harman ;Carter ;All Gender Housing;,xyfozxrmae,qxsmoxgdez,olskgkzbbr,jdphbqtdzj,lpkasoglok,vblgbwxltc,tthhevbaqj,gwdmdhkhnj,Batchelder,Batchelder,Batchelder,,,Double
48,5/18/23 13:29:40,5/18/23 13:37:33,placeholderemail@internal.loomis.org,podvfestsx,,podvfestsx,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,gnjpgjpxdr,Warham;Batchelder;Taylor;Kravis ;All Gender Housing;Harman ;Carter ;,krgzvwlbcf,akelyhzvvu,nlqqbtwxot,vozcgvsvrv,cvlmwxxeaj,cpkiibhaig,wwwjqoacpe,phvkxcbvvn,Carter,Carter,Warham,,Double,Single
49,5/18/23 13:30:02,5/18/23 13:39:35,placeholderemail@internal.loomis.org,gnjpgjpxdr,,tsngjaybxq,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,podvfestsx,Warham;Batchelder;Taylor;All Gender Housing;Harman ;Carter ;Kravis ;,nlqqbtwxot,krgzvwlbcf,akelyhzvvu,ynxwpyyhtn,sbakgdqqvm,cvlmwxxeaj,cpkiibhaig,wwwjqoacpe,Kravis,Kravis,Warham,,Single,Single
50,5/18/23 16:09:27,5/18/23 16:33:17,placeholderemail@internal.loomis.org,obxkcxxuxd,,obxkcxxuxd,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,izhtjplkwy,Batchelder;Warham;Taylor;All Gender Housing;Kravis ;Harman ;Carter ;,slyzogdlcn,gepayqhywk,ynxwpyyhtn,yandbxlnsb,ayshzmvonu,izhtjplkwy,mwncqojjdx,,Harman,Harman,Harman,,Single,
51,5/18/23 10:22:26,5/18/23 17:13:24,placeholderemail@internal.loomis.org,bitvnjcawr,,bitvnjcawr,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,yandbxlnsb,Batchelder;Taylor;Warham;Carter ;Kravis ;Harman ;All Gender Housing;,yandbxlnsb,ynxwpyyhtn,vslmgsjihw,joaxuqofow,cvlmwxxeaj,slyzogdlcn,,,Taylor,Taylor,Taylor,,,
52,5/18/23 17:22:22,5/18/23 18:05:58,placeholderemail@internal.loomis.org,keebdxafsv,,keebdxafsv,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Harman ;Batchelder;Warham;Taylor;All Gender Housing;Carter ;Kravis ;,,,,,,,,,Carter,Carter,Harman,Single,Double,Single
53,5/18/23 18:52:58,5/18/23 18:57:45,placeholderemail@internal.loomis.org,vzfihfkmzs,,vzfihfkmzs,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,xatmncxsfe,Batchelder;Warham;Taylor;Kravis ;Carter ;Harman ;All Gender Housing;,ybkmgtjmkd,igzuwfrayg,yymfmnsqcf,stwhwmjgcq,boehwawxfs,mhvvrhuchm,,,AGH,Carter,Batchelder,,Double,Double
54,5/18/23 19:04:58,5/18/23 19:05:04,placeholderemail@internal.loomis.org,yandbxlnsb,,yandbxlnsb,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,bitvnjcawr,Batchelder;Warham;Taylor;Carter ;Kravis ;Harman ;All Gender Housing;,bitvnjcawr,ynxwpyyhtn,snccwestlt,lxnvdvufqj,vslmgsjihw,joaxuqofow,,,Carter,Carter,Taylor,Double,Double,Double
55,5/18/23 19:14:05,5/18/23 19:19:58,placeholderemail@internal.loomis.org,xwfslbdbnv,,xwfslbdbnv,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,pnuhxrgnqr,Carter ;Kravis ;Batchelder;Warham;Taylor;Harman ;All Gender Housing;,dckauzivyd,oryckpqqch,pnuhxrgnqr,abtpsxbbsd,rqjjpwseql,nabghmfqlq,czhgtcltfq,plmdujvamk,Carter,Carter,Carter,Double,Double,Single
56,5/18/23 20:18:45,5/18/23 20:23:04,placeholderemail@internal.loomis.org,csbdkempqm,,csbdkempqm,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,czhgtcltfq,Kravis ;Batchelder;Warham;Taylor;All Gender Housing;Harman ;Carter ;,czhgtcltfq,cupzwesnqw,gwdmdhkhnj,rbfpemhowr,qxsmoxgdez,viujtibxxn,,,Harman,Harman,Harman,Double,Single,
57,5/18/23 20:16:23,5/18/23 20:23:35,placeholderemail@internal.loomis.org,szyefwevnp,,szyefwevnp,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Batchelder;Taylor;Warham;Harman ;Kravis ;Carter ;All Gender Housing;,gjbfhumyeh,stwhwmjgcq,rbfpemhowr,olskgkzbbr,otggohncjd,evigwndgiw,,,Harman,Harman,Harman,,Double,
58,5/18/23 21:02:04,5/18/23 21:03:20,placeholderemail@internal.loomis.org,oogckdxsuo,,oogckdxsuo,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,fclicpkemb,Warham;Batchelder;Taylor;All Gender Housing;Harman ;Carter ;Kravis ;,fclicpkemb,dsrodjdaly,vyogibmdnb,viujtibxxn,wzsinzeekq,hxeyhpdjhd,,,AGH,Harman,Taylor,,Double,Double
59,5/18/23 21:02:17,5/18/23 21:06:06,placeholderemail@internal.loomis.org,wzsinzeekq,,wzsinzeekq,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,,Batchelder;Taylor;Warham;All Gender Housing;Harman ;Carter ;Kravis ;,yymfmnsqcf,boehwawxfs,zjlzfcoukk,olskgkzbbr,stwhwmjgcq,myhkamlmoo,,,Harman,Harman,Batchelder,,Double,Double
60,5/18/23 21:51:14,5/18/23 21:53:42,placeholderemail@internal.loomis.org,kuzxyadimh,,kuzxyadimh,placeholderemail@loomis.org,Male,2024,Double;Triple;Single;,lootmugaao,Warham;Batchelder;Taylor;Carter ;Harman ;All Gender Housing;Kravis ;,lootmugaao,hkjinpfjet,ebinsfefcs,zlcfipzqyg,rvtgqljvjf,nvekqbfftf,jdalxedsnp,bxapmyekra,Kravis,Kravis,Kravis,,Double,Double
61,5/18/23 21:50:47,5/18/23 21:54:30,placeholderemail@internal.loomis.org,iozwipzvsb,,iozwipzvsb,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,,Batchelder;Warham;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,dtretsxdwm,ebinsfefcs,appidopska,kuzxyadimh,nabghmfqlq,rvtgqljvjf,lootmugaao,jdalxedsnp,AGH,Kravis,Kravis,,Single,Single
